district,title,link,orientation,deal_date,total_price,position,unit_price,features,list_amount,transaction_day,agent_name,agent_link
Huangpu,局门路405弄 2室0厅 49.23平米,https://sh.lianjia.com/chengjiao/107104940594.html,南 北 | 精装,2022.08.21,560万,中楼层(共7层) 1995年板楼,113752元/平,"房屋满五年, 近地铁",挂牌569万,成交周期189天,桂忠孝,https://dianpu.lianjia.com/1000000022111323/
Huangpu,瞿溪路1003弄 1室1厅 38.88平米,https://sh.lianjia.com/chengjiao/107105595284.html,南 | 精装,2022.08.20,374万,高楼层(共6层) 1985年板楼,96194元/平,"房屋满五年, 近地铁",挂牌385万,成交周期10天,逯仕齐,https://dianpu.lianjia.com/1000000022251159/
Huangpu,北蒙三小区 2室0厅 54.9平米,https://sh.lianjia.com/chengjiao/107104856264.html,东南 | 精装,2022.08.11,612万,高楼层(共7层) 1989年板楼,111476元/平,房屋满五年,挂牌620万,成交周期216天,汤军华,https://dianpu.lianjia.com/1000000022215298/
Huangpu,大众汽车公寓 2室1厅 81.95平米,https://sh.lianjia.com/chengjiao/107105533564.html,南 | 精装,2022.08.09,980万,中楼层(共29层) 1996年塔楼,119586元/平,"房屋满五年, 近地铁",挂牌998万,成交周期12天,韩八斤,https://dianpu.lianjia.com/1000000022245449/
Huangpu,斜土路486弄 1室1厅 45.56平米,https://sh.lianjia.com/chengjiao/107105491101.html,南 | 简装,2022.08.07,492.8万,低楼层(共6层) 1984年板楼,108166元/平,房屋满五年,挂牌520万,成交周期19天,高佳鸣,https://dianpu.lianjia.com/1000000022120089/
Huangpu,蒙自新村 1室1厅 33.42平米,https://sh.lianjia.com/chengjiao/107105497904.html,南 | 简装,2022.08.06,360万,高楼层(共7层) 1988年板楼,107720元/平,近地铁,挂牌370万,成交周期17天,赵长明,https://dianpu.lianjia.com/1000000022155953/
Huangpu,制造局后街24-28号 2室1厅 45.1平米,https://sh.lianjia.com/chengjiao/107104483456.html,西 | 简装,2022.08.06,485万,中楼层(共7层) 1993年板楼,107539元/平,"房屋满五年, 近地铁",挂牌495万,成交周期317天,孟立群,https://dianpu.lianjia.com/1000000022279949/
Huangpu,汇龙新城 3室2厅 155.44平米,https://sh.lianjia.com/chengjiao/107105515122.html,南 北 | 精装,2022.08.03,2380万,高楼层(共28层) 2002年板楼,153114元/平,"房屋满五年, 近地铁",挂牌2450万,成交周期11天,黄玉群,https://dianpu.lianjia.com/1000000022165360/
Huangpu,新家坡园景苑 3室2厅 93.86平米,https://sh.lianjia.com/chengjiao/107105446741.html,南 | 精装,2022.08.01,1345万,中楼层(共8层) 1999年板楼,143299元/平,"房屋满五年, 近地铁",挂牌1380万,成交周期22天,张彩,https://dianpu.lianjia.com/1000000022280143/
Huangpu,制造局后街24-28号 1室0厅 35.46平米,https://sh.lianjia.com/chengjiao/107105409734.html,南 | 简装,2022.07.28,422万,中楼层(共7层) 1993年板楼,119008元/平,"房屋满五年, 近地铁",挂牌426万,成交周期25天,罗麒,https://dianpu.lianjia.com/1000000026065112/
