district,title,link,orientation,deal_date,total_price,position,unit_price,features,list_amount,transaction_day,agent_name,agent_link
Hongkou,商建大楼 2室1厅 85.91平米,https://sh.lianjia.com/chengjiao/107108034598.html,南 | 精装,2024.05.22,500万,高楼层(共21层) 1995年塔楼,58201元/平,"房屋满五年, 近地铁",挂牌535万,成交周期252天,李福建,https://dianpu.lianjia.com/1000002101514988/
Hongkou,赤一小区 1室0厅 33.4平米,https://sh.lianjia.com/chengjiao/107109589257.html,南 | 简装,2024.05.20,165万,高楼层(共6层) 1985年板楼,49402元/平,"房屋满五年, 近地铁",挂牌173万,成交周期25天,刘东妮,https://dianpu.lianjia.com/1000000026518203/
Hongkou,飘鹰东方花园 2室2厅 117.66平米,https://sh.lianjia.com/chengjiao/107108498014.html,南 | 精装,2024.05.20,927万,中楼层(共18层) 2003年板楼,78787元/平,"房屋满五年, 近地铁",挂牌1010万,成交周期186天,洪睿,https://dianpu.lianjia.com/1000000022175484/
Hongkou,建工天峰公寓 1室1厅 42.22平米,https://sh.lianjia.com/chengjiao/107107789334.html,南 | 简装,2024.05.19,207.5万,高楼层(共6层) 1991年板楼,49148元/平,"房屋满五年, 近地铁",挂牌248万,成交周期280天,夏莉莉,https://dianpu.lianjia.com/1000000022147029/
Hongkou,东体小区 2室1厅 50.61平米,https://sh.lianjia.com/chengjiao/107109337219.html,南 | 简装,2024.05.19,283万,低楼层(共6层) 1983年板楼,55918元/平,"房屋满五年, 近地铁",挂牌315万,成交周期57天,李智元,https://dianpu.lianjia.com/1000000026702553/
Hongkou,曲一花苑 3室1厅 67.44平米,https://sh.lianjia.com/chengjiao/107109640158.html,南 北 | 毛坯,2024.05.19,485万,低楼层(共12层) 1984年塔楼,71916元/平,近地铁,挂牌518万,成交周期16天,于爱娣,https://dianpu.lianjia.com/1000000022094405/
Hongkou,运光路90弄 1室1厅 43.14平米,https://sh.lianjia.com/chengjiao/107109681459.html,南 | 简装,2024.05.18,198万,高楼层(共6层) 1984年板楼,45898元/平,房屋满五年,挂牌210万,成交周期11天,倪梅,https://dianpu.lianjia.com/1000000022263894/
Hongkou,曲阳花苑 3室2厅 146.08平米,https://sh.lianjia.com/chengjiao/107105367406.html,南 | 简装,2024.05.17,746万,中楼层(共20层) 1997年塔楼,51068元/平,"房屋满五年, 近地铁",挂牌850万,成交周期693天,菅娜娜,https://dianpu.lianjia.com/1000002101279427/
Hongkou,上农新村 1室1厅 37.73平米,https://sh.lianjia.com/chengjiao/107109525697.html,南 | 简装,2024.05.17,193万,高楼层(共6层) 1985年板楼,51153元/平,"房屋满五年, 近地铁",挂牌238万,成交周期30天,胡忠明,https://dianpu.lianjia.com/1000000022258011/
Hongkou,银联花园 2室1厅 70.76平米,https://sh.lianjia.com/chengjiao/107109256905.html,南 | 简装,2024.05.17,450万,高楼层(共18层) 1995年塔楼,63596元/平,近地铁,挂牌483万,成交周期64天,左瑞涛,https://dianpu.lianjia.com/1000000022165618/
Hongkou,邮电二村 2室1厅 76.17平米,https://sh.lianjia.com/chengjiao/107106765390.html,东南 | 简装,2024.05.10,426.5万,高楼层(共24层) 1990年塔楼,55994元/平,"房屋满五年, 近地铁",挂牌440万,成交周期415天,段乐乐,https://dianpu.lianjia.com/1000000026524477/
Hongkou,邮电二村 2室1厅 60.83平米,https://sh.lianjia.com/chengjiao/107109630875.html,南 | 简装,2024.05.10,330万,高楼层(共6层) 1986年板楼,54250元/平,近地铁,挂牌365万,成交周期9天,戴启飞,https://dianpu.lianjia.com/1000000022180550/
Hongkou,运三小区 1室1厅 39.95平米,https://sh.lianjia.com/chengjiao/107109173686.html,南 | 简装,2024.05.10,218万,低楼层(共6层) 1983年板楼,54569元/平,"房屋满五年, 近地铁",挂牌235万,成交周期66天,曾靖靖,https://dianpu.lianjia.com/1000000022144283/
Hongkou,祥东小区(虹口) 1室0厅 35.32平米,https://sh.lianjia.com/chengjiao/107109643845.html,南 | 简装,2024.05.09,170万,中楼层(共6层) 1982年板楼,48132元/平,"房屋满五年, 近地铁",挂牌183万,成交周期6天,李家玮,https://dianpu.lianjia.com/1000000030631295/
Hongkou,大二小区 1室1厅 35.03平米,https://sh.lianjia.com/chengjiao/107109410115.html,南 | 精装,2024.05.06,180万,高楼层(共6层) 1973年板楼,51385元/平,"房屋满五年, 近地铁",挂牌188万,成交周期34天,洪睿,https://dianpu.lianjia.com/1000000022175484/
Hongkou,密云花苑 2室1厅 86.85平米,https://sh.lianjia.com/chengjiao/107109272907.html,南 北 | 精装,2024.05.06,510万,高楼层(共21层) 1997年塔楼,58722元/平,"房屋满五年, 近地铁",挂牌588万,成交周期51天,季俊杰,https://dianpu.lianjia.com/1000000029149884/
Hongkou,运光新村 2室1厅 62.94平米,https://sh.lianjia.com/chengjiao/107107823424.html,南 | 简装,2024.05.05,370万,中楼层(共6层) 1995年板楼,58787元/平,近地铁,挂牌420万,成交周期260天,陈娟娟,https://dianpu.lianjia.com/1000000030047954/
Hongkou,东五小区(虹口) 2室1厅 69.05平米,https://sh.lianjia.com/chengjiao/107109042254.html,南 北 | 精装,2024.05.04,420万,高楼层(共24层) 1989年塔楼,60826元/平,"房屋满五年, 近地铁",挂牌470万,成交周期75天,周德友,https://dianpu.lianjia.com/1000000022182171/
Hongkou,巴林小区 2室1厅 56.39平米,https://sh.lianjia.com/chengjiao/107109632808.html,南 | 简装,2024.05.04,325万,高楼层(共6层) 1991年板楼,57635元/平,房屋满五年,挂牌350万,成交周期3天,唐静,https://dianpu.lianjia.com/1000000030271348/
Hongkou,玉田新村 2室1厅 66.88平米,https://sh.lianjia.com/chengjiao/107107755546.html,南 北 | 简装,2024.05.02,383万,高楼层(共5层) 1958年板楼,57267元/平,近地铁,挂牌419万,成交周期267天,周中欣,https://dianpu.lianjia.com/1000000022271517/
Hongkou,大连西路29号 2室0厅 42.61平米,https://sh.lianjia.com/chengjiao/107109521202.html,南 | 简装,2024.04.30,191万,中楼层(共6层) 1967年板楼,44826元/平,近地铁,挂牌220万,成交周期13天,段雪洁,https://dianpu.lianjia.com/1000000026775027/
Hongkou,银联花园 2室1厅 78.15平米,https://sh.lianjia.com/chengjiao/107108939349.html,南 | 简装,2024.04.29,480万,低楼层(共6层) 1993年板楼,61421元/平,"房屋满五年, 近地铁",挂牌546万,成交周期102天,张文群,https://dianpu.lianjia.com/1000000030767369/
Hongkou,运光路90弄 1室1厅 43.14平米,https://sh.lianjia.com/chengjiao/107109087309.html,南 | 毛坯,2024.04.28,205万,中楼层(共5层) 1985年板楼,47520元/平,房屋满五年,挂牌228万,成交周期64天,杨喆,https://dianpu.lianjia.com/1000000022273004/
